title,plot,director,cast,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,War,Western
Hard Labor,"Young housewife Helena is on the verge of fulfilling a dream as she prepares to open her own business: a neighborhood grocery store. She hires a maid, Paula, to take care of her house and daughter. But when her husband Otavio is suddenly fired from his job as an insurance executive, Helena is left to support the family alone. As Otavio fails to find work and becomes increasingly alienated, ...","Marco Dutra, Juliana Rojas","Helena Albergaria, Marat Descartes, Naloana Lima, Gilda Nomacce",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Khamoshiyan,"An erotic love triangle revolving around a writer adrift in the icy slopes of Kashmir where he discovers a woman with a strange, silent past.",Karan Darra,"Gurmeet Choudhary, Ali Fazal, Sapna Pabbi, Debina Choudhary",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rise of the Zombie,"Neil Parker is a passionate wildlife photographer who pays more attention to his wildlife than his human life. as a result his relationships with the real world suffer. When his girlfriend walks out on him he resigns himself to isolation and nature. But a chance occurrence changes all that. Changes that he cant seem to handle, changes that seem to take his humanity away... changes that seem ...","Luke Kenny, Devaki Singh","Luke Kenny, Kirti Kulhari, Ashwin Mushran, Benjamin Gilani",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The Hanover House,"Returning from his fathers funeral, Robert Foster is faced with the unimaginable; he hits a young girl with his car. In a desperate attempt to save her life, he seeks help at a nearby farmhouse.",Corey Norman,"Brian Chamberlain, Casey Turner, Anne Bobby, Daniel Noel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Deer Crossing,This film is about the Chancelor family. The mother (Maggie) and her son (Cole) head off after saying goodbye to Coles father only to have an accident near a country farm. They are found by a farmer called Lukas Walton who takes them to his farm and they are never seen by the father again. Its now 8 years later and the father gets a call from someone who claims to be his son Cole. So the father...,Christian Grillo,"Christopher Mann, Laura L Cottrel, KJ Linhein, Ernie Hudson",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Buddy Hutchins,"Buddy Hutchins is just a regular guy doing his best to support a wife and two kids. A recovering alcoholic, Buddy hasnt had a drink for the better part of a year, but it turns out the only reward for his good behavior is a failing business and a cheating wife. Throw in a ruthless bounty hunter and an hottempered ex, and Buddys already short fuse is about to blow. Pushed over the edge and armed...",Jared Cohn,"Jamie Kennedy, Sally Kirkland, Sara Malakul Lane, David Gere",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Primal Shift,"A naïve and socially repressed June hits the road with her new boyfriend, Max, on their first romantic trip down the coast. When a hitchhiker suddenly winds up dead in their RV, June cant deny the overwhelming thrill and lust for blood.",Scott A Matthews,"Stephanie Van Dyck, Jason Beaudoin, Lee Tomaschefski, Adam Boys",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
6 Days Dark,"It was said in ancient Israel that insanity was a result of a disturbances of the mind caused by supernatural forces or an angry God, as a punishment for sins or failure to follow the commandments.",Miona Bogovic,"Svetlana D Petkovic, Lorena Rincon, Peter J Chaffey, Ana Maljevic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Furnace,A petty car thief in a small Southern Ohio town gets involved in an underground game of life and death.,Nicholas Bushman,"Mike Dwyer, Seth Hammond, Katie Keene, Keith David",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Case#13,"The Hell Gang, an exclusive group of friends, promise a schoolmate that he can join their gang if he can just make it to the porch of a legendary mansion that has a dark and sinister past. Others have tried but none have made it within sight of the mansion before fleeing back in terror. Eddie, who is rigged with a camera to prove he did it, does not return at all! Five members of the gang must ...",Johnny Martin,"Seth Austin, Ian Bamberg, Lindsay Bushman, Griffin Freeman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Devil Complex,"Rachel and her team of film makers travel to Transylvania, Romania, to document the paranormal phenomena within HoiaBaciu Forest.",Mark Evans,"Maria Simona Arsu, Patrick Sebastian Negrean, Marius Dan Munteanu, Adrian Carlugeo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Haunting in Japan,"In the middle of a white winter, a group of young men visits the countryside in Japan to shoot a music video. However, the house that they have rented is haunted by several ghosts. Theres a pair of mother and child ghosts with pale faces. Then theres the mysterious Thai woman who floats around sadly, looking neither alive nor dead. She just might be the legendary spirit from the Japanese ...",Yuthlert Sippapak,"Aphichan Chaleumchainuwong, Anyarit Pitakkul, Yok Teeranitayatarn, Supassra Thanachat",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siembamba,"Returning to her home town, Eden Rock, and overwhelmed by the birth of her first born, Chloe van Heerden (19) tries to come to terms with motherhood. Despite the support from her loving mother, Ruby (35), Chloe struggles with the demand of being a new mom. The incessant crying of her baby, the growing sense of guilt and paranoia sends Chloe into a dark depression. With a heightened urge to ...",Darrell Roodt,"Brandon Auret, Reine Swart, Thandi Puren, Deànré Reiners",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Count,"Russell Carpenter reluctantly admits his wife Sadie into an experimental treatment facility for her life threatening disease. While locked in this prison like surrounding they, along with 6 others, are unknowingly subjected to a cure that might just be worse than the disease itself.",Todd E Freeman,"Robert McKeehen, Haley Talbot, Christopher Toyne, Laura Duyn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Vlad's legacy,"Filmmaker John Gillespie and his crew travel to Turkey to document the legend of Vlad The Impaler, only to find themselves caught up in a centuries old conspiracy in a village nestled on the outskirts of Istanbul.",Patricio Valladares,"Gianni Capaldi, Natalie Burn, Selma Ergeç, Guillermo Iván",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Rambler,"A quiet drifter leaves prison, finds home on the road.",Calvin Reeder,"Dermot Mulroney, Lindsay Pulsipher, Natasha Lyonne, James Cady",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
El-Cin,A group of friends were haunted respectively with a supernatural forces due to their faulty deed against a little snake.,Hasan Karacadag,"Hakan Bozyigit, Elif Erdal, Sevinç Erol, Serdal Genç",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
They Will Outlive Us All,"New York City. 2016. In the years since Hurricane Sandy, the city has been brought to its knees by a series of Frankenstorms. As hurricane season hits yet again, New York braces itself for the oncoming wave of destruction. Roommates Margot and Daniel attempt to survive this new New York by avoiding it at all costs. But with the advent of three strange deaths in their Brooklyn building, the ...",Patrick Shearer,"Jessi Gotta, Nat Cassidy, Alyssa Simon, Gavin Starr Kendall",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Bride,Han and Hao are about to get married soon when Hao picks up a strange red envelope on the street and then all hell breaks loose with a vengeful supernatural bride wreaking havoc on his life.,Lingo Hsieh,"Kang Ren Wu, Nikki Hsieh, Reina Ikehata, Vera Yen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
American Burger,"A bus load of American students, all jocks, cheerleaders and nerds, are on a culture trip in Europe when they stumble upon a mysterious Hamburger stand in the deep European woods, selling 100% American Burgers. A visit to the Burger Factory behind the stand, renders them trapped in this unknown territory, and they are about to realize that European notion of American Hamburgers is terrifyingly ...","Johan Bromander, Bonita Drake","Lena Bengtson, Madeleine Borg, Pär Camitz, Malin Dahl",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Do You Believe?,A group of teenage friends spend the evening telling stories  only to find the stories are all too real.,Richard Tavernaro,"Gina Ann Riggs, Mandy Neuhaus, Devin Williams, Nicholas Cordts",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Doctor Spine,"Sometimes life isnt all its cracked up to be! Doctor Spine, a mild mannered chiropractor, or a bonepopping madman?! When his brain is split into three separate personalities by a meddling head shrink, its a race against time to piece his fractured mind back together before he destroys everyone around him! First hell crack you, then hell whack you! The Doctor is insane!",John Wesley Norton,"Michael Wexler, Reggie Bannister, Joe Estevez, Larry Thomas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Trace We Leave Behind,"A young physician coordinating the transfer of patients between staterun hospitals in the city of Rio de Janeiro struggles with a mystery: a patient goes missing one night and completely disappears from the system. As the doctor attempts to find out the truth, he slowly loses his sense of reality.","JC Feyer, JC Feyer","Leandra Leal, Rafael Cardoso, Cláudia Abreu, Alice Wegmann",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Berlin: Part 1,A spirtual successor to Manny Velazquezs underground independent cult horror film Savage High (2015) that is a prequel and a sequel together taking place before and after the events of Savage High exploding now involving a bmovie actresss cousin Kamila Sanchez (played by Angie Velazquez) is kidnapped by a madman who will not stop until he gets his revenge upon the actress Delia Fox (played ...,Manny Velazquez,"Oskar Homolka, William Dewhurst, Dustin Hubbard, Angie Velazquez",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
The Dead 2: India,"In this ferocious sequel to the worldwide horror hit THE DEAD, an infectious epidemic spreads through India as an American turbine engineer (Joseph Millson of TVs 24: LIVE ANOTHER DAY) learns that his pregnant girlfriend is trapped near the slums of Mumbai. Now he must battle his way across a 300mile wasteland of the ravenous undead.","Howard J Ford, Jonathan Ford","Joseph Millson, Meenu Mishra, Anand Krishna Goyal, Sandip Datta Gupta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prom Ride,"Its the end of the school year for a group of high school friends. Their senior prom was to be a night of elegance, rejoicing and celebrating, but when a psychotic killer hijacks their stretch limo, he is determined to have them Dead On Arrival. The teens are tortured while being held hostage, and soon turn on each other for survival. By the end, we learn that one of the teens had been keeping a...",Kazeem Molake,"Heather Paige Cohn, Greg Gilardi, Omar Gooding, Theresa Ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Z Effect,Through six parts we follow main characters Scott and Mike surviving the beginning of a zombie apocalypse.,Scott Schlueter,"John Alexander, Hannah Bickham, TJ Brennan, Stephanie Challita",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Of Silence,"An ailing former scuba diver, who faces extremely tough times, begins experiencing otherworldly incidents.",Jeremiah Sayys,"Jeremiah Sayys, Masiela Lusha, Ashlee Gillespie, Najarra Townsend",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Cult,Follows 3 actresses who play themselves as they appear on a paranormal television show to investigate the exorcism of the Kaneda family.,Kôji Shiraishi,"Yû Abiru, Mari Iriki, Mayuko Iwasa, Ryosuke Miura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Dracula 3D,"He is the vicious leech of the myths and, at present, the tragic lead of a love story.",Rupesh Paul,"Mitch Powell, Patricia Duarte, Anna Burkholder, Suzanne Roche",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
The Happy House,"Their relationship on the rocks, a young Brooklyn couple heads to a remote B&B to work things out. But from the moment they arrive at The Happy House its one disaster after another, and they soon begin to suspect theyve wandered into a real life horror movie. Events escalate from weird to terrifying as they contend with the houses batty owner, her imposing son, a moody Swedish lepidopterist, a...",DW Young,"Khan Baykal, Aya Cash, Marceline Hugot, Kathleen McNenny",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two Faced,"Jessica has it all: smarts, beauty, and an engagement to handsome, wealthy businessman Matthew. Shes also a gold digging, hustling sociopath and pathological liar who will stop at nothing to keep her luxurious lifestyle. Matthews mother (Mama) comes to visit unannounced and has an instant dislike for Jessica and objects to their engagement. Mama catches Jessica cheating on Matthew which leads ...",Johnny Kearns,"Jacqui Holland, Tony Todd, Daniel Baldwin, Kristina Anapau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panzer Chocolate,"When an Archaeology student and her friends discover a Nazi bunker called Valhalla, their search for stolen pieces of art becomes a nightmare. The place is guarded by a hideous beast, and they find themselves running for their lives.",Robert Figueras,"Melina Matthews, Geraldine Chaplin, Ariadna Cabrol, Tony Corvillo",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Skeleton Krew,One by one a group of workers are stalked and killed by a mysterious masked figure during a 12 hour night shift in a factory facing closure.,Darragh Clancy,"Desmond Bird, Aisling Brady, Tony Brennan, Darragh Clancy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaaah,"Three friends meeting on their reunion are being drawn into a bet to prove the presence of ghosts by a rich schoolmate unexpectedly, leading them to a journey to five different places around the world suspected to be haunted.","Haresh Narayan, K Hari Shankar","Gokulnath, Bobby Simha, Meghna, Bala Saravanan",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Unbidden,The Unbidden is a thriller about four women confronted by a mysterious young man who knows a dark secret from their past.,Quentin Lee,"Tamlyn Tomita, Julia Nickson, Amy Hill, Elizabeth Sung",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Spo0K,"Four amateur parapsychologists travel to an allegedly haunted 14th century castle in Spain to disprove the existence of ghosts by demonstrating the existence of residual energies. Team leader, Soren Stefanson, has a hidden agenda and wants to communicate with the energies by taking a selfmade hallucinative drug called Spo0k. This causes tragic consequences. Plagued by horrible apparitions of ...",Aldous Byron Clarkson,"Alicia Costa Cholbi, Edward Coupland, Aranzazu Diez, Andrea Veronica Ferrer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eaters,"After their friend goes missing, five roadtripping friends must confront a violent biker gang, but after they narrowly escape, their nightmare goes from bad to spinechilling.",Johnny Tabor,"Tristan Parrish Moore, Hannah Risinger, Jonathan Haltiwanger, Marcelle Bowman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Black Death,"The origin dates to 1565, during the reign of Maha Chakkraphat (husband of courageous elephantbattling Queen Suriyothai), when there was a plague in the old royal capital. The tropical malady was blamed on seafaring Portuguese and Persian traders, who sailed with the sickness upriver to the old capital. As far as publichealth crises go, it was much worse, and way weirder, than is reported in ...",Chalermchatri Yukol,"Chaat Arthachinta, Apa Bhavilai, Narucha Chaimareung, Amphan Charoensukalarp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luciferous,"A real family is targeted and manipulated by a malicious force determined to prove that every man, woman and child is at risk of malevolent possession.","Mahsa Ghorbankarimi, Alexander Gorelick","Mahsa Ghorbankarimi, Alexander Gorelick, Mina Gorelick, James Schryer",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Aksbandh,It is a story of five young filmmakers who suddenly disappear while shooting in the woods near Drigh Lake Larakana in January 2014. A week later their camera was found containing details about what happened to them.,Emran Hussain,"Arshad Ali, Saud Imtiaz, Danial Afzal Khan, Shehzeen Rahat",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Abduction,"A horror comedy spoofing conspiracy theory moves, girl victim films, and Alien Grey abduction movies.","Maurice Smith, Mol Smith","Karolina Antosik, Tessa McGinn, Kemal Yildirim, Mel Mills",1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Darling,"Depressed in life, three youngsters decide to commit suicide and go to a beach house to do it, not realizing that the place is haunted by a ghost.",Sam Anton,"GV Prakash Kumar, Nikki Galrani, Srushti Dange, Karunas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killer Party,A group of friends get trapped at a baby shower when a mysterious outbreak starts turning people into homicidal maniacs.,Alex Drummond,"Drew Benda, Stephanie Beran, John Brody, Rachael Drummond",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
After the Dawn,"A survivor of warfare born chemical attack, Cassie Becker faces a new world of terrible realization. The Human race has suffered terrible recourse in the wake of an attack that never should have been leaving the remaining inhabitants in a state far less then human. It has been six months since to the day in this new world of indescribable destruction and isolated fear. In search of the only ...",Mitchel A Jones,"Nicole Kruex, Tommy Propson, Aaron Courteau, Shane McCaffrey",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Phantasmagoria,3 shocking tales of horror that takes you beyond fear.,"Mickael Abbate, Domiziano Cristopharo, Tiziano Martella","Venantino Venantini, Maya Dolan, Sophie Pâris, Cristina Puccinelli",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Laundry Man,Laundry Man is the story about a rather clumsy serial killer. It is partly based on the crimes committed by American serial killer Jeffrey Dahmer and those committed by the BelgianHungarian pastor Andras Pandy.,Johan Vandewoestijne,"Ignace Paepe, Dan Rutter, Ziva Marshall, Kristel Breugelmans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children of Sorrow,"A young woman embeds herself in a cult looking for answers to her sisters disappearance, only to find a dark secret within the cult and an even darker secret within herself.",Jourdan McClure,"Bill Oberst Jr, Hannah Levien, Whitney Nielsen, Nich Kauffman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Slender Man,"A tall, shadowy figure with a blank face and a suit is thought to be behind recent disappearances of children.",Anthony Meadows,"Adam Hartley, Madeleine Rouse, Eric Warrington, Bill Finkbiner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proof of the Devil,"A string of murders ended in the capture of an 18 yo boy named Jesse, who the media dubbed ""The Butcher"". He was found guilty, and executed by lethal injection. Fast forward 3yrs, the boys mom, Kate, hires a documentary film crew to prove that Jesse was not an insane murderer, but rather was possessed by a demon who made him commit the murders. For the first time on TV, Kate will have the crew ...",Paul Catalanotto,"Lisa Mackel Smith, Sam Cobean, Michael Bienvenu, Donovan Jackson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stop Over in Hell,"In a stagecoach stop far away in the Wild West the unexpected visit of a man called Colonel, will change their peaceful lives",Víctor Matellano,"Nadia de Santiago, Tábata Cerezo, Enzo G Castellari, Antonio Mayans",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Interstelar,A group of men go into space but never come out.,"Sergey A, Vladislav Krivenchuk","Vladislav Krivenchuk, Sergey A, Viktor Murzikov, Dmitriy Khmelyov",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Fear Town, USA","On St. Blevins Day (the most debauched of regional holidays), four boys looking to lose their virginity, a girl haunted by a dark secret, a lonely teenager, and an escaped mental patient all meet at a party in the woods. They were looking for fun but what they found... was TERROR!",Brandon Bassham,"Anna Callegari, Cody Lindquist, Amber Sophia Nelson, Mark Vigeant",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Beast,"After finding an old storage locker filled with his familys history, James Erikson begins a journey to discover the truth behind a mysterious piece of land in the small town of Solitude.","Livingston Oden, Taylor Scott Olson","Armin Habibovich, Victoria Lachelle, Brent Latchaw, Alex Cotant",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Zombie Dawn,The military calls upon a group of mercenaries and scientists to assist investigations on a mysterious epidemic on an isolated mining region. Theirs is a terrifying journey of death and betrayal.,"Lucio A Rojas, Cristian Toledo","Cristian Ramos, Guillermo Alfaro, Pablo Tournelle, Pamela Rojas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Are We Not Cats,Two strangers spark romance through their strange habit.,Xander Robin,"Michael Patrick Nicholson, Chelsea Lopez, Michael Godere, Dean Holtermann",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UFO: It Is Here,Five film students are producing a documentary about the local zoo when suddenly the animals go berserk: The reason is a light ball flying by in the sky and crashing at the horizon. Convinced that theyve just witnessed a meteor landing the students follow the trajectory to document the event with their camera. In a forest area they discover a burned crater. Since its too dark to film they ...,Daniele Grieco,"Laura Berlin, Olga von Luckwald, Dennis Mojen, Leonard Hohm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Noise,"New married couple moves into an old house located at suburbs think that their new home would bring them serenity and a happy life in. However, both not aware that this house would one day becomes their nightmare.",Adrian Teh,"Adrian Teh, Lenna Lim, Sawyer Leong, Phoebe Huang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Girls,Three stories of abused and forsaken girls who return from the dead to take their revenge.,"Neal E Fischer, Del Harvey","Jessica Oberhausen, Joseph Luis Caballero, Rebecca Mullins, Aubrey Joyce Tunnell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Radio Silence,"The serial killer ""Nachtschlitzer"" keeps the city in breath. The police always one step ahead, only the radio DJ Doc Rock can lure him out of his hiding place","Marco J Riedl, Carsten Vauth","Markus Knüfken, Charles Rettinghaus, Ronald Nitschke, Jasmin Lord",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zombie Isle,"Zombie Isle In the late 70s, a group of college students and their professor ventured onto an uninhabited island for a day of exploring flora, fauna and coed fun. The class field trip quickly becomes a grisly nightmare as the students and faculty soon discover they are stranded and the island is crawling with ravenous, flesheating ghouls, reanimated as Zombies by an insane Nazi scientist who ...",Robert Elkins,"Kyle Billeter, Dewey Collins, Apryl Crowell, Susee Garcia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollyon,"Inspired by true events! A new wave of serial murders has escalated. APOLLYON is the story of loner, Hayden Kroll (Ty Trumbo), haunted by his past, a troubled history, in which he tries desperately to conceal. Five tales intertwine in this story of suspense and horror. These stories collide as Haydens life is spinning out of control. Disillusioned, Hayden becomes intrigued by the darker side of ...",Sean Rosa,"Ty Trumbo, Sheena Colette, Pascal YenPfister, Erin Cline",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Infected,"Its the weekend, and the lads are off on the town! What could possibly go wrong? How about the end of the world as we know it. Something has happened, the undead are out in force, roaming the streets and devouring all who get in their way. Several groups of unlikely people find themselves trapped together in an emergency rescue centre, but no rescue is coming! So as the country goes to hell ...",Andrew Gilbert,"Luke Hobson, Nicky Paul Barton, Roger Fowler, Samuel Hogarth",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nobody Gets Out Alive,A group of college students escape their troubled lives but only to find themselves fighting for their lives from a revenge seeking mad man.,JasonChristopher Mayer,"Jen Dance, David J Bonner, Shaun Paul Costello, Chelsey Garner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Other Halves,"A team of programmers develop a revolutionary new dating app called Other Halves. On the night before the app is set to launch, they discover it causes strange side effects: users lose all selfcontrol, becoming amoral, lascivious, violent... evil. They consider shutting the app down, but... Evil is profitable.",Matthew T Price,"Lauren Lakis, Mercedes Manning, Lianna Liew, Melanie Friedrich",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Girls,"A group of friends who are doing a diploma course at a Film Institute. As part of their studies, they have to make a movie and the intriguing incidents during their film shoot at the high range form the plot.",Thulasidas,"Nadia Moidu, Iniya, Archana Suseelan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Solid State,Be careful of what you touch. A large meteor is heading quickly toward Earth. A space defense launches a missile and seems to destroy the meteor. But a small piece of the meteor lands in a remote part of Europe. An up and coming American rock band is touring through Europe when their van breaks down... near the meteor. The area is eerily quiet and the band finds clues of people living in the area...,Stefano Milla,"Debbie Rochon, Vivica A Fox, Ava Brunini, Suzi Lorraine",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Shake Rattle & Roll XV,A snake creature secretly lurks inside a shopping mall. A family is fed a meal that turns them into monsters. An airplane hijacking is interrupted by the birth of a tiyanak.,"Perci M Intalan, Dondon S Santos, Jerrold Tarog","Erich Gonzales, JC de Vera, Ariel Rivera, John Lapus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haunted,"If you Like ""Ghost"" reality shows, you should get a kick out of this one... Realm of horror, Dare you venture into the most haunted place in the world. A TV crew will film a paranormal investigation and obtain evidence that proves we are not alone. Something Evil awaits them! They will all discover the truth, that we are not alone.","Steven M Smith, Zane Casablanca, Svenja Quazzani","JonPaul Gates, Vivien Creegor, Freddie Fuller, Gemma Gurvitz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ouija Possession,"After finding a vintage spirit board in their parents basement, a group of teens conjure an undead relative, who stalks them from beyond the grave.",Luis Carvalho,"James Barrett, Ryan Boudreau, Nicole Lasala, Jocelyn Padilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dust Up,A former vigilante who has embraced his peaceful nature comes to the aid of a young mother in trouble with a cannibalistic drug lord.,Ward Roberts,"Amber Benson, Jeremiah Birkett, Aaron Gaffey, Devin Barry",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Messenger of Wrath,An independent 12 year old girl named Three is home alone late one night when her house is invaded by several masked intruders. While trying to escape from them she learns of a far more dangerous threat waiting outside.,Ryan Callaway,"Melissa Malone, Madeline Lupi, Carmine Giordano, Hiram Ortiz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Little Big Boy,Jimmy Duncan is a film director working on his fourth film but things are not exactly going as planned.,Kim Sønderholm,"Lloyd Kaufman, April Monique Burril, Rachel Grubb, Manoush",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Curse of All Hallows' Eve,"On All Hallows Eve 1457, A dark secret society of priests led by the Evil Countess Victoria (Vanessa Coleman) and Ambrus (Stephen Manley) are conducting diabolical ceremonies in which humans are being sacrificed to appease their God Samhain. On that same evening, the rebellious villagers invade the castle and put an end to the cult. But before Countess Victoria dies, she levies a curse on the ...",Guy Bodart,"Vanessa Coleman, Sean Morelli, Marilyn Weinmann, Jean Sulli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devil's Mile,"A relentlesslypaced hybrid of gritty crime thriller and Lovecraftian supernatural horror, The Devils Mile follows a trio of kidnappers who take an illadvised detour en route to deliver their hostages  two teenage girls  to their mysterious and powerful employer. When they accidentally kill one of the girls during a botched escape attempt, their simmering mistrust explodes into shocking ...",Joseph OBrien,"Maria del Mar, David Hayter, Samantha Wan, Amanda Joy",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evil Never Dies,Exgangster Harry Payne confronts his violent past and vengeance from beyond the grave.,Martyn Pick,"Tony Scannell, Graham Cole, Anouska Mond, Fliss Walton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jattu Engineer,"A teacher works hard to better a village that has poverty, unemployment, and a drug problem.","Honeypreet Insan, Gurmeet Ram Rahim Singh","Amardeep Insan, Ashok Insan, Divya Insan, Ishwar Insan",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
